0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Appendant ID,Package name,Billing Category,Com Category,OCS Name,Location, Price to customer  , Deducted Amount from wallet , Profit ,Short Code,Validity,Data Rating Group,Rounding Data,Onnet Mins,All Nets Mins,SMS,MBs,FACEBOOK(MB),WHATSAPP(MB),BONUS SMS,SOCIAL (MB),ILD  Sec,"Tigo -Tigo
(On net Wallet)","Mitandao Yote
(All net Wallet)","SMS 
(SMS Wallet)","Intaneti
(MBs Wallet)",FACEBOOK Wallet,WHATSAPP Wallet,Bonus SMS Wallet,BONUS MB's Wallet,SOCIAL Wallet,Kimataifa (ILD Wallet),USSD Flash Notifications,,Activation Notifications 100,
3023021,Xtreme1999_Rusha,ALL NETS,ON NET,Xtreme1999-EVC,All Zones ,"  1,999 ","  1,950 ",  49 ,*148*08#,7 days,N/A,N/A,55,5,200,10,300,500,0,0,0,5231,5238,5256,5247,5088,5075,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3023020,DK30siku2_Rusha,ALL NETS NO DATA,Segmented,Day_Promo_1000,All Zones ,"  1,000 ",  965 ,  35 ,*148*08#,24 hrs,N/A,N/A,68,2,500,0,0,0,0,0,0,5005,5007,5003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3022045,Uarabuni,ILD,ILD ARABIC,Uarabuni,All Zones,"  2,000 ","  1,950 ",  50 ,*148*08#,7 Days,N/A,N/A,0,0,0,0,0,0,0,0,180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5042,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3022043,Africa 1,ILD,ILD AFRICA,Africa 1,All Zones,"  1,000 ",  950 ,  50 ,*148*08#,7 Days,N/A,N/A,0,0,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5019,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3022042,Nje Africa,ILD,ILD WORLD,Nje Africa,All Zones,"  1,000 ",  950 ,  50 ,*148*08#,7 Days,N/A,N/A,0,0,0,0,0,0,0,0,900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5018,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3016225,Siku3pack,ALL NETS,Segmented,Siku 3 pack,Lake,"  1,000 ",  965 ,  35 ,*148*08#,3 days,N/A,N/A,35,15,500,10,0,0,0,0,0,5230,5237,5255,5246,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3016216,400MBMG1,DATA,Data Only,400MB For 3000 Tshs,All zones,"  3,000 ","  2,700 ",  300 ,*148*08#,7 days,N/A,256Kb,0,0,0,400,0,0,0,0,0,N/A,N/A,N/A,5067,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3012070,lakekabang40,ALL NETS,ALL NETS,Kabang40-Evc,All Zones ,"  1,000 ",  955 ,  45 ,*148*08#,24 hrs,N/A,N/A,6,19,200,8,50,0,5000,0,0,5005,5057,5058,5059,5088,N/A,5021,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3012060,Xtreme Pack,ALL NETS,ALL NETS,Xtreme Evc,All Zones ,  500 ,  485 ,  15 ,*148*08#,24 hrs,N/A,N/A,4,6,40,1,50,0,0,0,0,5005,5007,5003,5011,5088,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3012056,Mini kabang,ALL NETS,ALL NETS,KABANG-MINI Evc,All Zones ,  650 ,  625 ,  25 ,*148*08#,24 hrs,N/A,N/A,5,10,100,3,50,0,0,0,0,5005,5007,5003,5011,5088,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3012047,xtremetigo,ALL NETS,ON NET,Xtreme_GF/Evc,All Zones ,  500 ,  485 ,  15 ,*148*08#,24 hrs,N/A,N/A,15,2,40,1,50,0,0,0,0,5005,5007,5003,5011,5088,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3012035,Kabang,ALL NETS,ALL NETS,KABANG Evc,All Zones ,"  9,999 ","  9,500 ",  499 ,*148*08#,7 days,N/A,N/A,20,180,1000,50,300,500,0,0,0,5231,5015,5004,5247,5088,5075,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3012032,Mega,ALL NETS,Segmented,Xtreme MEGA-Evc,All Zones ,"  2,000 ","  1,950 ",  50 ,*148*08#,48 hrs,N/A,N/A,30,30,1000,20,50,0,0,0,0,5229,5236,5254,5245,5088,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
